Category: All categories

Week,صادرات به عراق: (Iran)
2023-12-03,58
2023-12-10,85
2023-12-17,55
2023-12-24,67
2023-12-31,41
2024-01-07,64
2024-01-14,73
2024-01-21,68
2024-01-28,55
2024-02-04,0
2024-02-11,100
2024-02-18,0
2024-02-25,60
2024-03-03,46
2024-03-10,54
2024-03-17,0
2024-03-24,47
2024-03-31,50
2024-04-07,64
2024-04-14,52
2024-04-21,0
2024-04-28,43
2024-05-05,69
2024-05-12,67
2024-05-19,55
2024-05-26,70
2024-06-02,0
2024-06-09,0
2024-06-16,43
2024-06-23,0
2024-06-30,42
2024-07-07,0
2024-07-14,0
2024-07-21,79
2024-07-28,52
2024-08-04,40
2024-08-11,91
2024-08-18,77
2024-08-25,78
2024-09-01,69
2024-09-08,62
2024-09-15,42
2024-09-22,0
2024-09-29,0
2024-10-06,45
2024-10-13,51
2024-10-20,45
2024-10-27,0
2024-11-03,53
2024-11-10,67
2024-11-17,30
2024-11-24,50
2024-12-01,45
